item_id,item_name,total_quantity,metric,category,total_revenue,order_hour,order_count
101.0,Hamburger,622.0,top_items,,,,
113.0,Edamame,620.0,top_items,,,,
109.0,Korean Beef Bowl,588.0,top_items,,,,
102.0,Cheeseburger,583.0,top_items,,,,
106.0,French Fries,571.0,top_items,,,,
,,,revenue_by_category,Italian,49462.7,,
,,,revenue_by_category,Asian,46720.65,,
,,,revenue_by_category,Mexican,34796.799999999996,,
,,,revenue_by_category,American,28237.75,,
,,,busiest_hour,,,12.0,644.0
,,,busiest_hour,,,5.0,618.0
,,,busiest_hour,,,6.0,595.0
,,,busiest_hour,,,1.0,590.0
,,,busiest_hour,,,7.0,497.0
,,,busiest_hour,,,4.0,479.0
,,,busiest_hour,,,2.0,423.0
,,,busiest_hour,,,8.0,411.0
,,,busiest_hour,,,3.0,354.0
,,,busiest_hour,,,11.0,290.0
,,,busiest_hour,,,9.0,289.0
,,,busiest_hour,,,10.0,153.0
